date,location,new_cases_smoothed,StringencyIndex
2020-01-01,Spain,0.0,35.222179930764845
2020-01-02,Spain,213.5,35.495407527551095
2020-01-03,Spain,420.3333333333333,35.7707456549064
2020-01-04,Spain,480.0,36.048337598822734
2020-01-05,Spain,384.0,36.32833513548032
2020-01-06,Spain,505.3333333333333,36.61089860997619
2020-01-07,Spain,552.2857142857143,36.896196973007754
2020-01-08,Spain,674.4285714285714,37.18440777102435
2020-01-09,Spain,742.8571428571429,37.47571708528939
2020-01-10,Spain,797.1428571428571,37.77031941526063
2020-01-11,Spain,1009.5714285714286,38.06841750170031
2020-01-12,Spain,1009.5714285714286,38.37022208497477
2020-01-13,Spain,913.0,38.67595159409684
2020-01-14,Spain,1054.7142857142858,38.98583176220894
2020-01-15,Spain,932.5714285714286,39.300095164402734
2020-01-16,Spain,908.4285714285714,39.618980674024975
2020-01-17,Spain,735.0,39.9427328339327
2020-01-18,Spain,502.7142857142857,40.27160113953444
2020-01-19,Spain,638.1428571428571,40.60583923089065
2020-01-20,Spain,575.8571428571429,40.94570399164649
2020-01-21,Spain,315.0,41.29145455313306
2020-01-22,Spain,315.0,41.64335120260062
2020-01-23,Spain,284.85714285714283,42.00165419523562
2020-01-24,Spain,313.42857142857144,42.3666224703628
2020-01-25,Spain,525.5714285714286,42.73851227303956
2020-01-26,Spain,440.7142857142857,43.117575683110005
2020-01-27,Spain,762.5714285714286,43.50405905469439
2020-01-28,Spain,848.8571428571429,43.898201370042074
2020-01-29,Spain,1019.7142857142856,44.30023251266456
2020-01-30,Spain,1096.142857142857,44.71037146568359
2020-01-31,Spain,1223.571428571429,45.12882444236794
2020-02-01,Spain,970.8571428571428,45.55578295688402
2020-02-02,Spain,1129.2857142857142,45.99142184433742
2020-02-03,Spain,1030.428571428571,46.43589724022649
2020-02-04,Spain,1159.2857142857142,46.88934453045226
2020-02-05,Spain,1256.571428571429,47.351876284019866
2020-02-06,Spain,1217.857142857143,47.82358018151248
2020-02-07,Spain,1244.0,48.30451695330797
2020-02-08,Spain,1360.857142857143,48.79471834232579
2020-02-09,Spain,1193.571428571429,49.2941851068273
2020-02-10,Spain,1259.7142857142858,49.80288507943049
2020-02-11,Spain,1230.142857142857,50.32075129903067
2020-02-12,Spain,1222.571428571429,50.84768023272742
2020-02-13,Spain,1647.857142857143,51.3835301051354
2020-02-14,Spain,1785.0,51.9281193525909
2020-02-15,Spain,1951.857142857143,52.481225219748424
2020-02-16,Spain,2350.5714285714284,53.04258251588314
2020-02-17,Spain,2534.4285714285716,53.61188254786948
2020-02-18,Spain,2899.8571428571427,54.188772246287506
2020-02-19,Spain,2937.0,54.772853500413525
2020-02-20,Spain,2975.1428571428573,55.363682716977486
2020-02-21,Spain,3026.0,55.96077061651752
2020-02-22,Spain,2975.5714285714284,56.56358227993304
2020-02-23,Spain,2843.0,57.17153745643644
2020-02-24,Spain,2925.5714285714284,57.78401114253634
2020-02-25,Spain,2905.714285714286,58.40033443995978
2020-02-26,Spain,3214.0,59.019795698549125
2020-02-27,Spain,3007.4285714285716,59.64164194816285
2020-02-28,Spain,3089.4285714285716,60.26508062148348
2020-02-29,Spain,3192.5714285714284,60.88928156740738
2020-03-01,Spain,3182.1428571428573,61.51337935237875
2020-03-02,Spain,3164.1428571428573,62.136475844653305
2020-03-03,Spain,3370.1428571428573,62.75764307405892
2020-03-04,Spain,3464.285714285714,63.37592635738343
2020-03-05,Spain,3595.714285714286,63.99034767708679
2020-03-06,Spain,3884.0,64.59990929863352
2020-03-07,Spain,4072.0,65.2035976093936
2020-03-08,Spain,4451.571428571428,65.8003871597947
2020-03-09,Spain,4667.0,66.38924488524864
2020-03-10,Spain,4559.142857142857,66.96913448534664
2020-03-11,Spain,4451.142857142857,67.53902093494526
2020-03-12,Spain,4734.714285714285,68.09787510007085
2020-03-13,Spain,4701.857142857143,68.64467843007651
2020-03-14,Spain,4825.714285714285,69.17842769621234
2020-03-15,Spain,4983.428571428572,69.6981397457355
2020-03-16,Spain,4985.285714285715,70.20285623990577
2020-03-17,Spain,5196.142857142857,70.69164834369997
2020-03-18,Spain,5306.857142857143,71.16362133484417
2020-03-19,Spain,5434.714285714285,71.6179190998139
2020-03-20,Spain,5465.285714285715,72.05372848479448
2020-03-21,Spain,5601.857142857143,72.47028347022743
2020-03-22,Spain,5432.0,72.866869138493
2020-03-23,Spain,5704.142857142857,73.2428254054876
2020-03-24,Spain,5784.714285714285,73.59755048834054
2020-03-25,Spain,6060.0,73.93050408326583
2020-03-26,Spain,5893.0,74.2412102295454
2020-03-27,Spain,6127.0,74.52925983787544
2020-03-28,Spain,6232.142857142857,74.79431286375414
2020-03-29,Spain,6686.571428571428,75.03610010922611
2020-03-30,Spain,6475.857142857143,75.25442463910066
2020-03-31,Spain,6604.0,75.44916280070002
2020-04-01,Spain,6767.428571428572,75.6202648392417
2020-04-02,Spain,6918.428571428572,75.76775510408575
2020-04-03,Spain,7002.857142857143,75.89173184425175
2020-04-04,Spain,7010.142857142857,75.99236659480064
2020-04-05,Spain,6961.0,76.0699031588503
2020-04-06,Spain,7257.714285714285,76.12465619312079
2020-04-07,Spain,7443.428571428572,76.15700940795304
2020-04-08,Spain,7413.714285714285,76.16741339568345
2020-04-09,Spain,7538.714285714285,76.15638310405936
2020-04-10,Spain,7655.714285714285,76.12449497401641
2020-04-11,Spain,7839.285714285715,76.0723837635869
2020-04-12,Spain,8012.857142857143,76.0007390819415
2020-04-13,Spain,7956.285714285715,75.91030165956953
2020-04-14,Spain,8004.571428571428,75.80185938235257
2020-04-15,Spain,8046.0,75.67624311877272
2020-04-16,Spain,8189.285714285715,75.53432237070538
2020-04-17,Spain,8270.142857142857,75.37700077917052
2020-04-18,Spain,8236.42857142857,75.20521151704995
2020-04-19,Spain,8076.857142857143,75.0199126011206
2020-04-20,Spain,8221.42857142857,74.82208215580442
2020-04-21,Spain,8071.428571428572,74.61271366080179
2020-04-22,Spain,8065.0,74.39281121426214
2020-04-23,Spain,7993.571428571428,74.1633848423657
2020-04-24,Spain,7841.142857142857,73.92544588515503
2020-04-25,Spain,7992.857142857143,73.68000248718246
2020-04-26,Spain,8262.857142857143,73.42805522004534
2020-04-27,Spain,8029.714285714285,73.17059286218722
2020-04-28,Spain,8190.285714285715,72.90858835947026
2020-04-29,Spain,8242.142857142857,72.64299498799569
2020-04-30,Spain,8394.285714285714,72.37474273848957
2020-05-01,Spain,8413.285714285714,72.10473493930527
2020-05-02,Spain,8189.285714285715,71.83384513274709
2020-05-03,Spain,7896.285714285715,71.562914217017
2020-05-04,Spain,7897.428571428572,71.2927478636549
2020-05-05,Spain,7478.285714285715,71.0241142179046
2020-05-06,Spain,7325.714285714285,70.75774188701993
2020-05-07,Spain,7154.0,70.49431821914874
2020-05-08,Spain,7033.714285714285,70.23448787311963
2020-05-09,Spain,7067.857142857143,69.97885167722845
2020-05-10,Spain,6838.428571428572,69.72796577299485
2020-05-11,Spain,6986.0,69.48234103785333
2020-05-12,Spain,7076.142857142857,69.24244277887105
2020-05-13,Spain,7003.428571428572,69.0086906878595
2020-05-14,Spain,6966.0,68.78145904667974
2020-05-15,Spain,6841.0,68.56107717013984
2020-05-16,Spain,7020.142857142857,68.3478300726538
2020-05-17,Spain,7241.285714285715,68.1419593437796
2020-05-18,Spain,7160.142857142857,67.94366421687951
2020-05-19,Spain,7092.0,67.75310281445111
2020-05-20,Spain,6900.142857142857,67.57039355315857
2020-05-21,Spain,6767.571428571428,67.39561669124826
2020-05-22,Spain,6638.714285714285,67.22881600085414
2020-05-23,Spain,6257.0,67.0700005476812
2020-05-24,Spain,6027.571428571428,66.91914656068909
2020-05-25,Spain,5913.0,66.77619937467533
2020-05-26,Spain,5829.714285714285,66.64107542906704
2020-05-27,Spain,5810.571428571428,66.51366430675925
2020-05-28,Spain,5793.428571428572,66.39383079747735
