date,country,stringency_lagged,case_growth,predicted
2020-01-15,Spain,40.0,-0.12295538788392513,-0.0019068115137281542
2020-01-16,Spain,40.96998283982416,-0.026201018216283956,-0.0017771219790379388
2020-01-17,Spain,41.908554516941685,-0.21158634005784815,-0.0016516322084139017
2020-01-18,Spain,41.933874341971,-0.3792209048263748,-0.001648246873960887
2020-01-19,Spain,41.19968002559902,0.2381187790922601,-0.0017464107953759746
2020-01-20,Spain,43.24416776630927,-0.10253334317729212,-0.0014730568215875033
2020-01-21,Spain,43.107514710525024,-0.6018524362305575,-0.001491327733701647
2020-01-22,Spain,43.439830157897134,0.0,-0.0014468961891725982
2020-01-23,Spain,43.81900752366075,-0.10025002805849237,-0.0013961990694793683
2020-01-24,Spain,44.601193097758085,0.09526474694272835,-0.0012916185769373855
2020-01-25,Spain,46.3622013383018,0.5156300567033067,-0.0010561666391039788
2020-01-26,Spain,43.29334902511525,-0.17572372852245532,-0.0014664811438454281
2020-01-27,Spain,44.275475582022224,0.5473434137518325,-0.001335167958763454
2020-01-28,Spain,46.75412450218163,0.10706159372876023,-0.0010037653690288233
2020-01-29,Spain,44.186293439327095,0.18318967317606205,-0.00134709187134618
2020-01-30,Spain,45.639539847584984,0.07220673577775027,-0.0011527885880928818
2020-01-31,Spain,44.77954619842738,0.10988153045174975,-0.0012677722472017464
2020-02-01,Spain,45.8913807218824,-0.23113738624840696,-0.0011191167286922253
2020-02-02,Spain,46.85835435061923,0.15101690295748682,-0.0009898295343009076
2020-02-03,Spain,45.66576684929502,-0.09152564141567598,-0.001149281961471827
2020-02-04,Spain,45.96007992385184,0.11772147635937102,-0.001109931445024092
2020-02-05,Spain,46.253796995382984,0.0805161432146635,-0.0010706606159191657
2020-02-06,Spain,47.372213291335584,-0.031268771869664924,-0.0009211250952306333
2020-02-07,Spain,47.153137340622,0.02122187836287992,-0.0009504161887875168
2020-02-08,Spain,50.27704042934171,0.08971378453945711,-0.0005327412347988173
2020-02-09,Spain,47.977565370818134,-0.13106183057706744,-0.0008401877566627906
2020-02-10,Spain,51.2475046201546,0.05389096988498654,-0.00040298734207752304
2020-02-11,Spain,48.94965423705531,-0.023735563625714384,-0.0007102166400988182
2020-02-12,Spain,50.16726303163019,-0.006168907417562153,-0.0005474187930443733
2020-02-13,Spain,50.24333747451957,0.29830842451269124,-0.0005372474181549692
2020-02-14,Spain,50.579017724572466,0.0798960752208453,-0.000492365989693877
2020-02-15,Spain,49.5220568220916,0.08931501922623752,-0.0006336847450373658
2020-02-16,Spain,51.7325289253364,0.18579029600909003,-0.00033813817787594225
2020-02-17,Spain,52.170590659636424,0.07527888677171557,-0.0002795680463700519
2020-02-18,Spain,52.36761437250906,0.13464357536236715,-0.00025322540132900837
2020-02-19,Spain,53.232056414068744,0.012722817927968144,-0.00013764697918201667
2020-02-20,Spain,51.807782954789786,0.012899041139245782,-0.0003280764946557088
2020-02-21,Spain,52.84901212930935,0.016943911148651125,-0.00018886111722305355
2020-02-22,Spain,52.78140139655415,-0.016799919211950787,-0.0001979008693826648
2020-02-23,Spain,51.86381744016172,-0.045560598886637216,-0.0003205845205339723
2020-02-24,Spain,54.85832401107099,0.02862006501803549,7.978974163175539e-05
2020-02-25,Spain,53.99648640604114,-0.00680824514057754,-3.544045975522204e-05
2020-02-26,Spain,55.09477569903223,0.10080402587113113,0.00011140402193589825
2020-02-27,Spain,58.41676620993355,-0.06640948454725581,0.0005555638420026146
2020-02-28,Spain,56.28502896825897,0.02689190440509215,0.00027054435546747507
2020-02-29,Spain,56.535413283369074,0.032830083083210226,0.0003040214686566567
2020-03-01,Spain,58.1558495558059,-0.003270832048817951,0.0005206785243686693
2020-03-02,Spain,58.781740171618,-0.005670837466267287,0.0006043619251454883
2020-03-03,Spain,59.905232638856575,0.06305362250686919,0.0007545761447398753
2020-03-04,Spain,57.38869387731613,0.027543272845356626,0.0004181075727048948
2020-03-05,Spain,60.7123468273294,0.03722564381879323,0.00086248966572947
2020-03-06,Spain,58.71074713229431,0.077102253533047,0.0005948699487329972
2020-03-07,Spain,57.838973860334654,0.04725684484666459,0.0004783113196996109
2020-03-08,Spain,58.54732059859784,0.08910194973853613,0.0005730193445357386
2020-03-09,Spain,61.526146983736105,0.04724893601949809,0.0009712971201317989
2020-03-10,Spain,61.51437515450826,-0.023376763067934903,0.0009697231922308801
2020-03-11,Spain,62.59153070677881,-0.02396843015087491,0.0011137420311500045
2020-03-12,Spain,60.24968401330767,0.061747046371058545,0.0008006302981144508
