iso_code,continent,location,date,population,new_cases,new_cases_smoothed,total_cases,new_deaths,new_deaths_smoothed,total_deaths,total_cases_per_million,total_deaths_per_million,new_tests,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,icu_patients,hosp_patients,stringency_index,excess_mortality
ESP,Europe,Spain,2020-01-01,47500000,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,500.0,0,0,40.0,0.0
ESP,Europe,Spain,2020-01-02,47500000,427,213.5,427,9,4.5,9,8.989473684210527,0.18947368421052632,3866,0.11045007759958614,0.17356831041664522,0.06595395640869917,561.0786920298144,9,34,40.96998283982416,11.25
ESP,Europe,Spain,2020-01-03,47500000,834,420.3333333333333,1261,17,8.666666666666666,26,26.54736842105263,0.5473684210526316,7598,0.10976572782311135,0.34708975315705143,0.13190328350926184,622.0614224534854,17,67,41.908554516941685,21.25
ESP,Europe,Spain,2020-01-04,47500000,659,480.0,1920,13,9.75,39,40.42105263157895,0.8210526315789474,6040,0.10910596026490066,0.5205174898357516,0.19784335327944066,682.8523831829685,13,53,41.933874341971,16.25
ESP,Europe,Spain,2020-01-05,47500000,0,384.0,1920,0,7.8,39,40.42105263157895,0.8210526315789474,0,0.0,0.6938047406305173,0.26376954026840943,743.3560729208216,0,0,41.19968002559902,0.0
ESP,Europe,Spain,2020-01-06,47500000,1112,505.3333333333333,3032,22,10.166666666666666,61,63.83157894736842,1.2842105263157895,10312,0.1078355314197052,0.8669048135182241,0.3296772228815808,803.4774499419076,22,89,43.24416776630927,27.5
ESP,Europe,Spain,2020-01-07,47500000,834,552.2857142857143,3866,17,11.142857142857142,78,81.38947368421053,1.6421052631578947,7778,0.10722550784263307,1.039771133455847,0.3955617846643528,863.1220841398808,17,67,43.107514710525024,21.25
ESP,Europe,Spain,2020-01-08,47500000,855,674.4285714285714,4721,17,13.571428571428571,95,99.38947368421053,2.0,8019,0.10662177328843996,1.2123572714883453,0.4614186155844277,922.1963080952128,17,68,43.439830157897134,21.25
ESP,Europe,Spain,2020-01-09,47500000,906,742.8571428571429,5627,18,14.857142857142858,113,118.46315789473684,2.3789473684210525,8543,0.1060517382652464,1.3846169737652494,0.527243113312347,980.6073669230819,18,72,43.81900752366075,22.5
ESP,Europe,Spain,2020-01-10,47500000,1214,797.1428571428571,6841,24,15.857142857142858,137,144.02105263157895,2.8842105263157896,11508,0.10549183176920403,1.5565041904478103,0.5930306844998863,1038.2635666614035,24,97,44.601193097758085,30.0
