CountryName,CountryCode,Date,StringencyIndex
Spain,ESP,20200101,35.222179930764845
Spain,ESP,20200102,35.495407527551095
Spain,ESP,20200103,35.7707456549064
Spain,ESP,20200104,36.048337598822734
Spain,ESP,20200105,36.32833513548032
Spain,ESP,20200106,36.610898609976196
Spain,ESP,20200107,36.896196973007754
Spain,ESP,20200108,37.18440777102435
Spain,ESP,20200109,37.475717085289396
Spain,ESP,20200110,37.77031941526063
Spain,ESP,20200111,38.06841750170031
Spain,ESP,20200112,38.37022208497477
Spain,ESP,20200113,38.67595159409684
Spain,ESP,20200114,38.98583176220894
Spain,ESP,20200115,39.300095164402734
Spain,ESP,20200116,39.618980674024975
Spain,ESP,20200117,39.9427328339327
Spain,ESP,20200118,40.27160113953444
Spain,ESP,20200119,40.60583923089065
Spain,ESP,20200120,40.94570399164649
Spain,ESP,20200121,41.29145455313306
Spain,ESP,20200122,41.64335120260062
Spain,ESP,20200123,42.00165419523562
Spain,ESP,20200124,42.3666224703628
Spain,ESP,20200125,42.73851227303956
Spain,ESP,20200126,43.117575683110005
Spain,ESP,20200127,43.50405905469439
Spain,ESP,20200128,43.898201370042074
Spain,ESP,20200129,44.300232512664564
Spain,ESP,20200130,44.71037146568359
Spain,ESP,20200131,45.12882444236794
Spain,ESP,20200201,45.55578295688402
Spain,ESP,20200202,45.99142184433742
Spain,ESP,20200203,46.43589724022649
Spain,ESP,20200204,46.88934453045226
Spain,ESP,20200205,47.351876284019866
Spain,ESP,20200206,47.82358018151248
Spain,ESP,20200207,48.30451695330797
Spain,ESP,20200208,48.79471834232579
Spain,ESP,20200209,49.2941851068273
Spain,ESP,20200210,49.80288507943049
Spain,ESP,20200211,50.32075129903067
Spain,ESP,20200212,50.84768023272742
Spain,ESP,20200213,51.3835301051354
Spain,ESP,20200214,51.9281193525909
Spain,ESP,20200215,52.481225219748424
Spain,ESP,20200216,53.04258251588314
Spain,ESP,20200217,53.61188254786948
Spain,ESP,20200218,54.188772246287506
Spain,ESP,20200219,54.772853500413525
Spain,ESP,20200220,55.363682716977486
Spain,ESP,20200221,55.96077061651752
Spain,ESP,20200222,56.56358227993304
Spain,ESP,20200223,57.17153745643644
Spain,ESP,20200224,57.78401114253634
Spain,ESP,20200225,58.40033443995978
Spain,ESP,20200226,59.019795698549125
Spain,ESP,20200227,59.64164194816285
Spain,ESP,20200228,60.26508062148348
Spain,ESP,20200229,60.88928156740738
Spain,ESP,20200301,61.513379352378756
Spain,ESP,20200302,62.136475844653305
Spain,ESP,20200303,62.75764307405892
Spain,ESP,20200304,63.37592635738343
Spain,ESP,20200305,63.99034767708679
Spain,ESP,20200306,64.59990929863352
Spain,ESP,20200307,65.2035976093936
Spain,ESP,20200308,65.8003871597947
Spain,ESP,20200309,66.38924488524864
Spain,ESP,20200310,66.96913448534664
Spain,ESP,20200311,67.53902093494526
Spain,ESP,20200312,68.09787510007085
Spain,ESP,20200313,68.64467843007651
Spain,ESP,20200314,69.17842769621234
Spain,ESP,20200315,69.6981397457355
Spain,ESP,20200316,70.20285623990577
Spain,ESP,20200317,70.69164834369997
Spain,ESP,20200318,71.16362133484417
Spain,ESP,20200319,71.6179190998139
Spain,ESP,20200320,72.05372848479448
Spain,ESP,20200321,72.47028347022743
Spain,ESP,20200322,72.866869138493
Spain,ESP,20200323,73.2428254054876
Spain,ESP,20200324,73.59755048834054
Spain,ESP,20200325,73.93050408326583
Spain,ESP,20200326,74.2412102295454
Spain,ESP,20200327,74.52925983787544
Spain,ESP,20200328,74.79431286375414
Spain,ESP,20200329,75.03610010922611
Spain,ESP,20200330,75.25442463910066
Spain,ESP,20200331,75.44916280070002
Spain,ESP,20200401,75.6202648392417
Spain,ESP,20200402,75.76775510408575
Spain,ESP,20200403,75.89173184425175
Spain,ESP,20200404,75.99236659480064
Spain,ESP,20200405,76.0699031588503
Spain,ESP,20200406,76.12465619312079
Spain,ESP,20200407,76.15700940795304
Spain,ESP,20200408,76.16741339568345
Spain,ESP,20200409,76.15638310405936
Spain,ESP,20200410,76.12449497401641
Spain,ESP,20200411,76.0723837635869
Spain,ESP,20200412,76.0007390819415
Spain,ESP,20200413,75.91030165956953
Spain,ESP,20200414,75.80185938235257
Spain,ESP,20200415,75.67624311877272
Spain,ESP,20200416,75.53432237070538
Spain,ESP,20200417,75.37700077917052
Spain,ESP,20200418,75.20521151704995
Spain,ESP,20200419,75.0199126011206
Spain,ESP,20200420,74.82208215580442
Spain,ESP,20200421,74.61271366080179
Spain,ESP,20200422,74.39281121426214
Spain,ESP,20200423,74.1633848423657
Spain,ESP,20200424,73.92544588515503
Spain,ESP,20200425,73.68000248718246
Spain,ESP,20200426,73.42805522004534
